vp_id,age,gender,block,trial,correct_key,reaction_time,target,key,size
09,27,m,1,1,True,0.9292,human,a,16
09,27,m,1,2,True,2.975,human,a,16
09,27,m,1,3,True,4.0493,primate,l,36
09,27,m,1,4,True,2.7102,primate,l,8
09,27,m,1,5,True,4.1565,primate,l,16
09,27,m,1,6,True,1.1213,human,a,8
09,27,m,1,7,True,7.8598,primate,l,36
09,27,m,1,8,True,4.6414,primate,l,8
09,27,m,1,9,True,1.6011,human,a,36
09,27,m,1,10,True,2.4738,human,a,8
09,27,m,1,11,True,5.2611,primate,l,16
09,27,m,1,12,True,1.004,human,a,8
09,27,m,1,13,True,1.4853,human,a,8
09,27,m,1,14,True,7.1527,primate,l,16
09,27,m,1,15,True,3.0899,primate,l,8
09,27,m,1,16,True,6.5931,primate,l,36
09,27,m,1,17,True,0.9155,human,a,8
09,27,m,1,18,True,9.076,primate,l,36
09,27,m,1,19,True,1.2696,human,a,8
09,27,m,1,20,True,4.8566,primate,l,16
09,27,m,1,21,True,11.8937,primate,l,36
09,27,m,1,22,True,2.8847,primate,l,8
09,27,m,1,23,True,2.3121,primate,l,8
09,27,m,1,24,True,1.5589,primate,l,8
09,27,m,1,25,True,0.7361,human,a,8
09,27,m,1,26,True,1.1407,human,a,8
09,27,m,1,27,True,3.7301,primate,l,16
09,27,m,1,28,True,1.6386,human,a,36
09,27,m,1,29,True,6.9498,primate,l,36
09,27,m,1,30,True,2.5517,primate,l,8
09,27,m,1,31,True,4.4233,primate,l,16
09,27,m,1,32,True,10.0818,primate,l,36
09,27,m,1,33,True,7.3442,human,a,36
09,27,m,1,34,True,1.4767,human,a,16
09,27,m,1,35,True,4.9684,primate,l,8
09,27,m,1,36,True,11.6994,primate,l,16
09,27,m,1,37,True,27.9995,primate,l,36
09,27,m,1,38,True,0.993,human,a,16
09,27,m,1,39,True,4.9478,primate,l,16
09,27,m,1,40,True,0.7802,human,a,8
09,27,m,1,41,True,0.8381,human,a,8
09,27,m,1,42,True,0.8278,human,a,8
09,27,m,1,43,True,4.6411,primate,l,16
09,27,m,1,44,True,2.1051,human,a,16
09,27,m,1,45,True,3.0782,primate,l,8
09,27,m,2,1,False,5.224,human,l,8
09,27,m,2,2,True,0.8146,human,a,8
09,27,m,2,3,True,1.089,human,a,36
09,27,m,2,4,True,0.7683,human,a,8
09,27,m,2,5,True,0.7789,human,a,16
09,27,m,2,6,True,1.7651,primate,l,8
09,27,m,2,7,True,2.013,primate,l,8
09,27,m,2,8,True,1.8164,human,a,16
09,27,m,2,9,True,0.7824,human,a,8
09,27,m,2,10,True,0.7905,human,a,16
09,27,m,2,11,True,2.2042,primate,l,8
09,27,m,2,12,True,8.1386,primate,l,36
09,27,m,2,13,True,5.4257,primate,l,16
09,27,m,2,14,True,0.78,human,a,36
09,27,m,2,15,True,0.7562,human,a,16
09,27,m,2,16,True,2.3598,primate,l,8
09,27,m,2,17,True,0.9465,human,a,36
09,27,m,2,18,True,0.9431,human,a,8
09,27,m,2,19,True,1.262,human,a,36
09,27,m,2,20,True,2.1987,human,a,36
09,27,m,2,21,True,8.908,primate,l,36
09,27,m,2,22,True,5.8787,primate,l,36
09,27,m,2,23,True,1.7335,human,a,36
09,27,m,2,24,True,11.1627,primate,l,16
09,27,m,2,25,True,1.3955,human,a,16
09,27,m,2,26,True,2.3085,human,a,36
09,27,m,2,27,True,5.1514,primate,l,36
09,27,m,2,28,True,1.4411,human,a,8
09,27,m,2,29,True,2.1683,human,a,36
09,27,m,2,30,True,1.0131,human,a,16
09,27,m,2,31,True,2.9744,primate,l,8
09,27,m,2,32,True,1.6039,human,a,16
09,27,m,2,33,True,6.0027,primate,l,36
09,27,m,2,34,True,2.124,human,a,36
09,27,m,2,35,True,1.8736,primate,l,8
09,27,m,2,36,True,3.7576,primate,l,8
09,27,m,2,37,True,0.8501,human,a,36
09,27,m,2,38,True,2.4172,primate,l,16
09,27,m,2,39,True,0.8549,human,a,16
09,27,m,2,40,True,1.9583,primate,l,8
09,27,m,2,41,True,4.6151,primate,l,36
09,27,m,2,42,True,0.9316,human,a,16
09,27,m,2,43,True,0.7997,human,a,8
09,27,m,2,44,True,9.2803,primate,l,36
09,27,m,2,45,True,1.3132,human,a,36
09,27,m,3,1,True,1.3624,human,a,8
09,27,m,3,2,True,2.0793,primate,l,8
09,27,m,3,3,True,0.6004,human,a,16
09,27,m,3,4,True,0.6066,human,a,8
09,27,m,3,5,True,0.9516,human,a,16
09,27,m,3,6,True,2.4028,primate,l,16
09,27,m,3,7,True,3.8903,primate,l,16
09,27,m,3,8,True,1.1585,primate,l,8
09,27,m,3,9,True,3.8585,primate,l,36
09,27,m,3,10,True,0.9259,human,a,16
09,27,m,3,11,True,2.1738,human,a,36
09,27,m,3,12,True,1.5357,primate,l,8
09,27,m,3,13,True,0.8297,human,a,8
09,27,m,3,14,True,5.3844,primate,l,36
09,27,m,3,15,True,0.7415,human,a,36
09,27,m,3,16,True,5.1144,primate,l,36
09,27,m,3,17,True,1.3471,human,a,16
09,27,m,3,18,True,0.891,human,a,8
09,27,m,3,19,True,0.712,human,a,8
09,27,m,3,20,True,0.6841,human,a,8
09,27,m,3,21,True,0.5957,human,a,36
09,27,m,3,22,True,3.4838,primate,l,36
09,27,m,3,23,True,1.114,human,a,16
09,27,m,3,24,True,2.8597,primate,l,16
09,27,m,3,25,True,2.578,primate,l,36
09,27,m,3,26,True,2.7872,primate,l,16
09,27,m,3,27,True,2.9239,primate,l,16
09,27,m,3,28,True,3.0758,primate,l,16
09,27,m,3,29,True,2.3694,primate,l,16
09,27,m,3,30,True,0.819,human,a,36
09,27,m,3,31,True,2.5466,primate,l,16
09,27,m,3,32,True,3.0091,primate,l,16
09,27,m,3,33,True,3.256,primate,l,16
09,27,m,3,34,True,0.7531,human,a,8
09,27,m,3,35,True,0.6076,human,a,16
09,27,m,3,36,True,8.0657,primate,l,36
09,27,m,3,37,True,1.1195,human,a,16
09,27,m,3,38,True,0.9306,human,a,16
09,27,m,3,39,False,1.9722,human,l,8
09,27,m,3,40,True,2.0439,primate,l,8
09,27,m,3,41,True,0.6273,human,a,16
09,27,m,3,42,True,3.8491,primate,l,36
09,27,m,3,43,True,0.718,human,a,8
09,27,m,3,44,True,0.0001,primate,l,36
09,27,m,3,45,True,1.8777,primate,l,8
09,27,m,4,1,True,1.1542,human,a,16
09,27,m,4,2,True,1.3703,human,a,16
09,27,m,4,3,True,1.456,human,a,36
09,27,m,4,4,True,0.897,human,a,36
09,27,m,4,5,True,0.7911,human,a,16
09,27,m,4,6,True,0.5817,human,a,8
09,27,m,4,7,True,1.0553,human,a,8
09,27,m,4,8,True,3.0124,primate,l,36
09,27,m,4,9,True,1.5402,human,a,36
09,27,m,4,10,True,1.1568,human,a,36
09,27,m,4,11,True,3.9221,primate,l,16
